"name","long","lat","year","date"
"Danaus plexippus","-95.469968","29.826071","2016","2016-02-07"
"Danaus plexippus","-121.883028","37.336318","2016","2016-02-07"
"Danaus plexippus","-95.43873","29.960325","2016","2016-02-10"
"Danaus plexippus","-122.46798","37.767945","2016","2016-02-16"
"Danaus plexippus","-95.521314","29.860043","2016","2016-02-28"
"Danaus plexippus","-156.503791","20.797185","2016","2016-02-15"
"Danaus plexippus","-122.315037","37.862797","2016","2016-02-10"
"Danaus plexippus","-122.252511","37.088927","2016","2016-02-06"
"Danaus plexippus","-95.586367","29.942928","2016","2016-02-13"
"Danaus plexippus","-117.171861","33.839525","2016","2016-02-12"
"Danaus plexippus","-97.174232","26.13726","2016","2016-02-14"
"Danaus plexippus","-95.529361","29.854116","2016","2016-02-21"
"Danaus plexippus","-122.259347","37.807187","2016","2016-02-26"
"Danaus plexippus","-157.862157","21.610439","2016","2016-02-15"
"Danaus plexippus","-118.286781","33.884265","2016","2016-02-06"
"Danaus plexippus","-122.027204","36.953387","2016","2016-02-13"
"Danaus plexippus","-121.135325","36.517528","2016","2016-02-19"
"Danaus plexippus","-118.28913","34.017697","2016","2016-02-06"
"Danaus plexippus","-95.549088","29.843142","2016","2016-02-03"
"Danaus plexippus","-95.4392","29.913808","2016","2016-02-06"
